,rank,state,percent,number
0,1,Rhode Island,39.5,"4,000"
1,2,Connecticut,43.9,"16,000"
2,3,Wisconsin,44.3,"27,000"
3,4,Maine,45.3,"7,000"
4,5,North Dakota,46.7,"2,000"
5,6,Minnesota,47.5,"27,000"
6,7,Ohio,48.6,"63,000"
7,8,District of Columbia,48.7,"1,000"
8,9,Virginia,51.3,"44,000"
9,10,Maryland,52.5,"33,000"
10,11,Louisiana,52.7,"18,000"
11,12,Utah,53.8,"24,000"
12,13,Pennsylvania,53.9,"59,000"
13,14,West Virginia,54.2,"10,000"
14,15,Massachusetts,54.5,"38,000"
15,16,New Hampshire,54.7,"7,000"
16,17,Indiana,54.8,"40,000"
17,18,New York,55.1,"83,000"
18,19,Vermont,55.3,"3,000"
19,20,Colorado,55.6,"30,000"
20,21,Oregon,55.6,"27,000"
21,22,Idaho,55.7,"13,000"
22,23,South Dakota,55.7,"4,000"
23,24,Illinois,56.1,"80,000"
24,25,Tennessee,57.0,"37,000"
25,26,Florida,57.2,"106,000"
26,27,Delaware,57.3,"4,000"
27,28,New Jersey,57.8,"40,000"
28,29,Hawaii,57.9,"6,000"
29,30,Missouri,59.0,"45,000"
30,31,Washington,59.1,"40,000"
31,32,Iowa,59.8,"20,000"
32,33,Michigan,59.8,"64,000"
33,34,Arizona,60.2,"38,000"
34,35,Arkansas,61.3,"19,000"
35,36,Nevada,61.4,"22,000"
36,37,New Mexico,61.4,"16,000"
37,38,Kentucky,62.0,"19,000"
38,39,Wyoming,62.5,"4,000"
39,40,Montana,63.2,"6,000"
40,41,Mississippi,63.7,"16,000"
41,42,California,63.9,"245,000"
42,43,Texas,65.4,"180,000"
43,44,Alaska,65.6,"5,000"
44,45,Oklahoma,65.8,"28,000"
45,46,Alabama,67.5,"26,000"
46,47,Kansas,70.8,"22,000"
47,48,Georgia,70.9,"67,000"
48,49,Nebraska,71.3,"14,000"
49,50,South Carolina,73.7,"33,000"
50,51,North Carolina,74.3,"68,000"
51,,National,59.0,"1,848,000"
