,rank,state,percent,number
0,1,Mississippi,6.0,"14,000"
1,2,North Dakota,6.0,"3,000"
2,3,Kentucky,6.3,"21,000"
3,4,Delaware,6.6,"4,000"
4,5,Iowa,6.9,"17,000"
5,6,New Jersey,7.0,"47,000"
6,7,South Dakota,7.3,"5,000"
7,8,Louisiana,7.5,"27,000"
8,9,New York,7.5,"102,000"
9,10,Georgia,7.7,"65,000"
10,11,Nebraska,7.7,"12,000"
11,12,Kansas,7.8,"18,000"
12,13,District of Columbia,7.9,"2,000"
13,14,Alabama,8.1,"29,000"
14,15,Vermont,8.2,"3,000"
15,16,Colorado,8.3,"35,000"
16,17,New Hampshire,8.3,"8,000"
17,18,Arkansas,8.4,"19,000"
18,19,Oklahoma,8.4,"26,000"
19,20,Pennsylvania,8.6,"77,000"
20,21,California,8.8,"258,000"
21,22,Arizona,8.9,"47,000"
22,23,South Carolina,8.9,"32,000"
23,24,Hawaii,9.0,"8,000"
24,25,Texas,9.0,"211,000"
25,26,Michigan,9.1,"68,000"
26,27,Virginia,9.1,"55,000"
27,28,Montana,9.2,"7,000"
28,29,Alaska,9.3,"5,000"
29,30,North Carolina,9.8,"75,000"
30,31,Ohio,9.9,"87,000"
31,32,Florida,10.0,"137,000"
32,33,Maryland,10.0,"43,000"
33,34,Illinois,10.1,"98,000"
34,35,Wyoming,10.1,"4,000"
35,36,Connecticut,10.2,"27,000"
36,37,Rhode Island,10.2,"7,000"
37,38,Indiana,10.4,"54,000"
38,39,Tennessee,10.4,"52,000"
39,40,Massachusetts,10.5,"50,000"
40,41,Minnesota,10.5,"44,000"
41,42,New Mexico,10.5,"17,000"
42,43,Utah,10.7,"31,000"
43,44,Washington,10.7,"56,000"
44,45,Wisconsin,10.8,"47,000"
45,46,Missouri,11.3,"51,000"
46,47,West Virginia,11.3,"14,000"
47,48,Idaho,11.7,"17,000"
48,49,Oregon,12.7,"36,000"
49,50,Maine,13.1,"12,000"
50,51,Nevada,13.2,"28,000"
51,,National,9.2,"2,217,000"
