,rank,state,percent,number
0,1,Vermont,40.7,"42,000"
1,2,New Hampshire,44.6,"89,000"
2,3,Rhode Island,45.7,"73,000"
3,4,Iowa,47.3,"214,000"
4,5,Delaware,47.5,"64,000"
5,6,Colorado,48.7,"407,000"
6,7,Minnesota,49.5,"360,000"
7,8,Maine,49.6,"99,000"
8,9,Missouri,50.9,"485,000"
9,10,Michigan,51.1,"713,000"
10,11,Tennessee,51.4,"485,000"
11,12,Utah,51.4,"269,000"
12,13,West Virginia,51.4,"177,000"
13,14,Massachusetts,52.0,"603,000"
14,15,Arkansas,52.5,"251,000"
15,16,Nebraska,52.7,"126,000"
16,17,Wisconsin,52.9,"427,000"
17,18,Washington,53.1,"707,000"
18,19,Indiana,53.8,"577,000"
19,20,Ohio,54.0,"958,000"
20,21,Pennsylvania,54.3,"960,000"
21,22,New Mexico,54.4,"148,000"
22,23,North Carolina,54.6,"754,000"
23,24,Mississippi,54.8,"230,000"
24,25,Virginia,54.8,"651,000"
25,26,Kentucky,55.0,"425,000"
26,27,District of Columbia,55.4,"68,000"
27,28,North Dakota,55.6,"54,000"
28,29,South Dakota,55.6,"61,000"
29,30,Connecticut,55.7,"277,000"
30,31,Illinois,55.7,"847,000"
31,32,Maryland,55.9,"446,000"
32,33,Kansas,56.8,"238,000"
33,34,Idaho,57.1,"188,000"
34,35,South Carolina,57.4,"397,000"
35,36,Montana,58.3,"92,000"
36,37,Florida,59.3,"1,705,000"
37,38,New York,59.7,"1,590,000"
38,39,Oklahoma,59.7,"344,000"
39,40,New Jersey,59.9,"663,000"
40,41,Oregon,60.2,"475,000"
41,42,Georgia,60.9,"829,000"
42,43,Arizona,61.3,"543,000"
43,44,Texas,61.7,"1,991,000"
44,45,Louisiana,62.2,"409,000"
45,46,Alaska,62.4,"66,000"
46,47,Nevada,63.9,"270,000"
47,48,Alabama,64.3,"474,000"
48,49,Wyoming,64.3,"57,000"
49,50,Hawaii,64.6,"111,000"
50,51,California,64.8,"3,533,000"
51,,National,57.2,"26,017,000"
