,rank,state,percent,number
0,1,Maryland,53.90%,"23,000"
1,2,Rhode Island,48.30%,"3,000"
2,3,Wisconsin,47.60%,"22,000"
3,4,Massachusetts,46.00%,"22,000"
4,5,Maine,41.30%,"4,000"
5,6,New Hampshire,39.70%,"3,000"
6,7,District of Columbia,38.10%,"1,000"
7,8,Ohio,37.10%,"32,000"
8,9,Missouri,36.70%,"19,000"
9,10,Iowa,36.60%,"6,000"
10,11,Idaho,36.00%,"6,000"
11,12,North Dakota,35.90%,"1,000"
12,13,Arkansas,35.40%,"7,000"
13,14,Connecticut,35.40%,"9,000"
14,15,Louisiana,34.20%,"9,000"
15,16,Arizona,33.20%,"14,000"
16,17,New Mexico,32.60%,"5,000"
17,18,Pennsylvania,32.30%,"23,000"
18,19,Alaska,31.40%,"2,000"
19,20,New Jersey,30.40%,"13,000"
20,21,Michigan,29.20%,"19,000"
21,22,Oregon,29.20%,"10,000"
22,23,Hawaii,29.00%,"2,000"
23,24,South Dakota,28.80%,"1,000"
24,25,Virginia,28.30%,"15,000"
25,26,Indiana,27.80%,"14,000"
26,27,California,27.50%,"68,000"
27,28,West Virginia,27.50%,"4,000"
28,29,Illinois,27.40%,"26,000"
29,30,Kentucky,27.20%,"5,000"
30,31,New York,27.20%,"26,000"
31,32,Delaware,27.00%,"1,000"
32,33,Colorado,25.60%,"8,000"
33,34,Vermont,25.50%,"1,000"
34,35,Utah,25.10%,"8,000"
35,36,Minnesota,24.80%,"10,000"
36,37,Montana,24.70%,"2,000"
37,38,Tennessee,23.80%,"11,000"
38,39,Florida,23.60%,"31,000"
39,40,Texas,23.50%,"48,000"
40,41,Oklahoma,22.70%,"6,000"
41,42,Alabama,21.20%,"6,000"
42,43,Nebraska,20.70%,"2,000"
43,44,Kansas,20.10%,"3,000"
44,45,Georgia,20.00%,"13,000"
45,46,Nevada,18.00%,"5,000"
46,47,Mississippi,17.70%,"2,000"
47,48,North Carolina,17.00%,"12,000"
48,49,Wyoming,16.40%,"1,000"
49,50,Washington,15.80%,"8,000"
50,51,South Carolina,13.50%,"4,000"
51,,National,28.2,"599,000"
