,Age Chart-alias,State-alias,SUM(Positive PTSD)-alias,SUM(State Population)-alias,SUM(Total PTSD Responses)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,AGG(% at Risk)-alias,AGG(# per 100K)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,65,578803,69,43,43.00,-107.5,-107.50,%null%,Breakdown by County (All Years),94.20,11.230073099137357,11.2,0.78
1,True,Wisconsin,488,5895908,536,44.5,44.50,-90,-90.00,%null%,Breakdown by County (All Years),91.04,8.276926980543115,8.3,0.3
2,True,West Virginia,260,1782959,277,38.63,38.63,-80.73,-80.73,%null%,Breakdown by County (All Years),93.86,14.582500214531011,14.6,0.98
3,True,Washington,793,7738692,860,47.5,47.50,-120.5,-120.50,%null%,Breakdown by County (All Years),92.21,10.247209735185223,10.2,0.58
4,True,Virginia,809,8642274,886,37.77,37.77,-78.24,-78.24,%null%,Breakdown by County (All Years),91.31,9.36096217268742,9.4,0.5
5,True,Vermont,78,645570,95,44.1584,44.16,-72.7678,-72.77,%null%,Breakdown by County (All Years),82.11,12.082345833914216,12.1,0.86
6,True,Utah,345,3337975,377,39.25,39.25,-111.75,-111.75,%null%,Breakdown by County (All Years),91.51,10.335607666324643,10.3,0.62
7,True,Texas,2190,29527941,2415,31.25,31.25,-99.25,-99.25,%null%,Breakdown by County (All Years),90.68,7.416704063449598,7.4,0.2
8,True,Tennessee,815,6975218,896,35.75,35.75,-86.25,-86.25,%null%,Breakdown by County (All Years),90.96,11.684222629314238,11.7,0.84
9,True,South Dakota,102,895376,112,44.5,44.50,-100.25,-100.25,%null%,Breakdown by County (All Years),91.07,11.391862189739282,11.4,0.82
10,True,South Carolina,484,5190705,537,34,34.00,-81,-81.00,%null%,Breakdown by County (All Years),90.13,9.324359600478163,9.3,0.48
11,True,Rhode Island,63,1095610,71,41.4966,41.50,-71.4757,-71.48,%null%,Breakdown by County (All Years),88.73,5.750221337884832,5.8,0.02
12,True,Pennsylvania,1146,12964056,1255,40.86,40.86,-77.9,-77.90,%null%,Breakdown by County (All Years),91.31,8.839826054438518,8.8,0.38
13,True,Oregon,420,4246155,465,44,44.00,-120.5,-120.50,%null%,Breakdown by County (All Years),90.32,9.891301659972374,9.9,0.54
14,True,Oklahoma,553,3986639,605,35.5,35.50,-97.5,-97.50,%null%,Breakdown by County (All Years),91.40,13.871333722466469,13.9,0.94
15,True,Ohio,1238,11780017,1390,40.25,40.25,-83,-83.00,%null%,Breakdown by County (All Years),89.06,10.509322694525823,10.5,0.68
16,True,North Dakota,70,774948,79,47.5,47.50,-100,-100.00,%null%,Breakdown by County (All Years),88.61,9.03286414056169,9.0,0.44
17,True,North Carolina,855,10551162,937,35.5,35.50,-80,-80.00,%null%,Breakdown by County (All Years),91.25,8.103372879688512,8.1,0.26
18,True,New York,1157,19835913,1277,43,43.00,-75.49,-75.49,%null%,Breakdown by County (All Years),90.60,5.832854782131783,5.8,0.04
19,True,New Mexico,175,2115877,195,34.5,34.50,-106,-106.00,%null%,Breakdown by County (All Years),89.74,8.270802130747676,8.3,0.28
20,True,New Jersey,466,9267130,536,40.16,40.16,-74.49,-74.49,%null%,Breakdown by County (All Years),86.94,5.0285255521396595,5.0,0
21,True,New Hampshire,142,1388992,158,43.66,43.66,-71.49,-71.49,%null%,Breakdown by County (All Years),89.87,10.223241026586185,10.2,0.56
22,True,Nevada,245,3143991,276,39.25,39.25,-116.75,-116.75,%null%,Breakdown by County (All Years),88.77,7.7926431723246035,7.8,0.24
23,True,Nebraska,176,1963692,196,41.5,41.50,-99.75,-99.75,%null%,Breakdown by County (All Years),89.80,8.962709019540743,9.0,0.4
24,True,Montana,114,1104271,124,47,47.00,-109.75,-109.75,%null%,Breakdown by County (All Years),91.94,10.323552823536977,10.3,0.6
25,True,Missouri,671,6168187,755,38.25,38.25,-92.5,-92.50,%null%,Breakdown by County (All Years),88.87,10.87839911468313,10.9,0.74
26,True,Mississippi,428,2949965,465,33.503,33.50,-89.8071,-89.81,%null%,Breakdown by County (All Years),92.04,14.50864671275761,14.5,0.96
27,True,Minnesota,590,5707390,655,46.25,46.25,-94.25,-94.25,%null%,Breakdown by County (All Years),90.08,10.33747474765173,10.3,0.64
28,True,Michigan,977,10050811,1109,43.1045,43.10,-84.6165,-84.62,%null%,Breakdown by County (All Years),88.10,9.72060861556346,9.7,0.52
29,True,Massachusetts,465,6984723,522,42.3616,42.36,-72.1839,-72.18,%null%,Breakdown by County (All Years),89.08,6.657386413176298,6.7,0.12
30,True,Maryland,361,6165129,401,39.4444,39.44,-77.0834,-77.08,%null%,Breakdown by County (All Years),90.02,5.855514134416328,5.9,0.06
31,True,Maine,149,1372247,170,45.5,45.50,-69.24,-69.24,%null%,Breakdown by County (All Years),87.65,10.858103533839024,10.9,0.72
32,True,Louisiana,335,4624047,363,30.6935,30.69,-92.241,-92.24,%null%,Breakdown by County (All Years),92.29,7.244736050476995,7.2,0.18
33,True,Kentucky,603,4509394,666,37.79,37.79,-84.87,-84.87,%null%,Breakdown by County (All Years),90.54,13.372085029607081,13.4,0.92
34,True,Kansas,325,2934582,368,38.5,38.50,-98.5,-98.50,%null%,Breakdown by County (All Years),88.32,11.07483110030662,11.1,0.76
35,True,Iowa,360,3193079,392,42,42.00,-93.5,-93.50,%null%,Breakdown by County (All Years),91.84,11.274384379465713,11.3,0.8
36,True,Indiana,858,6805985,923,40,40.00,-86.25,-86.25,%null%,Breakdown by County (All Years),92.96,12.60655143965201,12.6,0.88
37,True,Illinois,973,12671469,1090,40,40.00,-89.25,-89.25,%null%,Breakdown by County (All Years),89.27,7.678667721950785,7.7,0.22
38,True,Idaho,164,1900923,180,44.0739,44.07,-114.542,-114.54,%null%,Breakdown by County (All Years),91.11,8.627387853163963,8.6,0.32
39,True,Hawaii,89,1441553,102,20.79,20.79,-156.34,-156.34,%null%,Breakdown by County (All Years),87.25,6.173897178945207,6.2,0.08
40,True,Georgia,935,10799566,1034,32.1598,32.16,-83.4715,-83.47,%null%,Breakdown by County (All Years),90.43,8.657755320908267,8.7,0.34
41,True,Florida,1550,21781128,1726,28.42,28.42,-81.55,-81.55,%null%,Breakdown by County (All Years),89.80,7.116252197774146,7.1,0.14
42,True,District of Columbia,59,670050,70,38.91,38.91,-77,-77.00,%null%,Breakdown by County (All Years),84.29,8.805313036340571,8.8,0.36
43,True,Delaware,106,1003384,114,38.6716,38.67,-75.4165,-75.42,%null%,Breakdown by County (All Years),92.98,10.564250576050645,10.6,0.7
44,True,Connecticut,257,3605597,284,41.6227,41.62,-72.7028,-72.70,%null%,Breakdown by County (All Years),90.49,7.127807128750106,7.1,0.16
45,True,Colorado,610,5812069,681,39,39.00,-105.5,-105.50,%null%,Breakdown by County (All Years),89.57,10.495401895607227,10.5,0.66
46,True,California,2567,39237836,2905,37.25,37.25,-119.75,-119.75,%null%,Breakdown by County (All Years),88.36,6.542154873168846,6.5,0.1
47,True,Arkansas,399,3025891,433,34.75,34.75,-92.5,-92.50,%null%,Breakdown by County (All Years),92.15,13.186198709735413,13.2,0.9
48,True,Arizona,669,7276316,734,34.5,34.50,-111.5,-111.50,%null%,Breakdown by County (All Years),91.14,9.194213115538139,9.2,0.46
49,True,Alaska,118,732673,126,64,64.00,-150,-150.00,%null%,Breakdown by County (All Years),93.65,16.105411281704114,16.1,1
50,True,Alabama,454,5039877,508,32.75,32.75,-86.75,-86.75,%null%,Breakdown by County (All Years),89.37,9.008156349847425,9.0,0.42
