,Age Chart-alias,State-alias,SUM(Positive PTSD)-alias,SUM(State Population)-alias,SUM(Total PTSD Responses)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,AGG(% at Risk)-alias,AGG(# per 100K)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,193,578803,213,43,43.00,-107.5,-107.50,%null%,Breakdown by County (All Years),90.610,33.34467858666939,33.3,0.9
1,True,Wisconsin,1398,5895908,1567,44.5,44.50,-90,-90.00,%null%,Breakdown by County (All Years),89.215,23.711360489342777,23.7,0.42
2,True,West Virginia,643,1782959,691,38.63,38.63,-80.73,-80.73,%null%,Breakdown by County (All Years),93.054,36.06364476132092,36.1,0.98
3,True,Washington,2027,7738692,2213,47.5,47.50,-120.5,-120.50,%null%,Breakdown by County (All Years),91.595,26.193056914527677,26.2,0.58
4,True,Virginia,1946,8642274,2142,37.77,37.77,-78.24,-78.24,%null%,Breakdown by County (All Years),90.850,22.517221740481727,22.5,0.36
5,True,Vermont,168,645570,183,44.1584,44.16,-72.7678,-72.77,%null%,Breakdown by County (All Years),91.803,26.023514103815234,26.0,0.54
6,True,Utah,993,3337975,1095,39.25,39.25,-111.75,-111.75,%null%,Breakdown by County (All Years),90.685,29.748575109160495,29.7,0.78
7,True,Texas,6048,29527941,6615,31.25,31.25,-99.25,-99.25,%null%,Breakdown by County (All Years),91.429,20.482295057416973,20.5,0.22
8,True,Tennessee,1930,6975218,2066,35.75,35.75,-86.25,-86.25,%null%,Breakdown by County (All Years),93.417,27.669386103774823,27.7,0.64
9,True,South Dakota,276,895376,298,44.5,44.50,-100.25,-100.25,%null%,Breakdown by County (All Years),92.617,30.825038866353353,30.8,0.8
10,True,South Carolina,1159,5190705,1260,34,34.00,-81,-81.00,%null%,Breakdown by County (All Years),91.984,22.3283735061037,22.3,0.32
11,True,Rhode Island,191,1095610,206,41.4966,41.50,-71.4757,-71.48,%null%,Breakdown by County (All Years),92.718,17.433210722793696,17.4,0.04
12,True,Pennsylvania,2965,12964056,3241,40.86,40.86,-77.9,-77.90,%null%,Breakdown by County (All Years),91.484,22.870928666152015,22.9,0.38
13,True,Oregon,1182,4246155,1294,44,44.00,-120.5,-120.50,%null%,Breakdown by County (All Years),91.345,27.836948957350824,27.8,0.68
14,True,Oklahoma,1359,3986639,1462,35.5,35.50,-97.5,-97.50,%null%,Breakdown by County (All Years),92.955,34.08886533242664,34.1,0.92
15,True,Ohio,3355,11780017,3631,40.25,40.25,-83,-83.00,%null%,Breakdown by County (All Years),92.399,28.480434281206893,28.5,0.7
16,True,North Dakota,194,774948,210,47.5,47.50,-100,-100.00,%null%,Breakdown by County (All Years),92.381,25.033937760985253,25.0,0.5
17,True,North Carolina,2368,10551162,2577,35.5,35.50,-80,-80.00,%null%,Breakdown by County (All Years),91.890,22.44302570655251,22.4,0.34
18,True,New York,3242,19835913,3598,43,43.00,-75.49,-75.49,%null%,Breakdown by County (All Years),90.106,16.344092656587073,16.3,0.02
19,True,New Mexico,414,2115877,446,34.5,34.50,-106,-106.00,%null%,Breakdown by County (All Years),92.825,19.56635475502593,19.6,0.18
20,True,New Jersey,1352,9267130,1496,40.16,40.16,-74.49,-74.49,%null%,Breakdown by County (All Years),90.374,14.589198597624074,14.6,0
21,True,New Hampshire,338,1388992,374,43.66,43.66,-71.49,-71.49,%null%,Breakdown by County (All Years),90.374,24.334193429479797,24.3,0.48
22,True,Nevada,691,3143991,757,39.25,39.25,-116.75,-116.75,%null%,Breakdown by County (All Years),91.281,21.97843441663796,22.0,0.3
23,True,Nebraska,474,1963692,521,41.5,41.50,-99.75,-99.75,%null%,Breakdown by County (All Years),90.979,24.13820497308132,24.1,0.46
24,True,Montana,322,1104271,341,47,47.00,-109.75,-109.75,%null%,Breakdown by County (All Years),94.428,29.159508852446546,29.2,0.74
25,True,Missouri,1611,6168187,1753,38.25,38.25,-92.5,-92.50,%null%,Breakdown by County (All Years),91.900,26.11788520678767,26.1,0.56
