,Age Chart-alias,State-alias,SUM(Positive PTSD)-alias,SUM(State Population)-alias,SUM(Total PTSD Responses)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,AGG(% at Risk)-alias,AGG(# per 100K)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,67,578803,76,43,43.00,-107.5,-107.50,%null%,Breakdown by County (All Years),88.16,11.575613809880046,11.6,0.36
1,True,Wisconsin,684,5895908,746,44.5,44.50,-90,-90.00,%null%,Breakdown by County (All Years),91.69,11.601266505515351,11.6,0.4
2,True,West Virginia,278,1782959,293,38.63,38.63,-80.73,-80.73,%null%,Breakdown by County (All Years),94.88,15.592057921690852,15.6,0.9
3,True,Washington,1067,7738692,1134,47.5,47.50,-120.5,-120.50,%null%,Breakdown by County (All Years),94.09,13.787859757178602,13.8,0.7
4,True,Virginia,1099,8642274,1184,37.77,37.77,-78.24,-78.24,%null%,Breakdown by County (All Years),92.82,12.716560479336804,12.7,0.48
5,True,Vermont,69,645570,76,44.1584,44.16,-72.7678,-72.77,%null%,Breakdown by County (All Years),90.79,10.688229006924114,10.7,0.12
6,True,Utah,496,3337975,535,39.25,39.25,-111.75,-111.75,%null%,Breakdown by County (All Years),92.71,14.85930841303485,14.9,0.84
7,True,Texas,3221,29527941,3468,31.25,31.25,-99.25,-99.25,%null%,Breakdown by County (All Years),92.88,10.908312232132948,10.9,0.22
8,True,Tennessee,983,6975218,1051,35.75,35.75,-86.25,-86.25,%null%,Breakdown by County (All Years),93.53,14.09274950259619,14.1,0.72
9,True,South Dakota,122,895376,134,44.5,44.50,-100.25,-100.25,%null%,Breakdown by County (All Years),91.04,13.625560658315614,13.6,0.64
10,True,South Carolina,595,5190705,637,34,34.00,-81,-81.00,%null%,Breakdown by County (All Years),93.41,11.462797442736584,11.5,0.32
11,True,Rhode Island,119,1095610,122,41.4966,41.50,-71.4757,-71.48,%null%,Breakdown by County (All Years),97.54,10.861529193782458,10.9,0.2
12,True,Pennsylvania,1621,12964056,1751,40.86,40.86,-77.9,-77.90,%null%,Breakdown by County (All Years),92.58,12.503802822203175,12.5,0.46
