,Age Chart-alias,State-alias,SUM(Positive PTSD)-alias,SUM(State Population)-alias,SUM(Total PTSD Responses)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,AGG(% at Risk)-alias,AGG(# per 100K)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,47,578803,51,43,43.00,-107.5,-107.50,%null%,Breakdown by County (All Years),92.16,8.120206702453165,8.1,0.24
1,True,Wisconsin,491,5895908,531,44.5,44.50,-90,-90.00,%null%,Breakdown by County (All Years),92.47,8.327809728374323,8.3,0.32
2,True,West Virginia,200,1782959,209,38.63,38.63,-80.73,-80.73,%null%,Breakdown by County (All Years),95.69,11.217307857331548,11.2,0.8
3,True,Washington,779,7738692,825,47.5,47.50,-120.5,-120.50,%null%,Breakdown by County (All Years),94.42,10.066300609973881,10.1,0.66
4,True,Virginia,800,8642274,854,37.77,37.77,-78.24,-78.24,%null%,Breakdown by County (All Years),93.68,9.256822914894853,9.3,0.5
5,True,Vermont,51,645570,55,44.1584,44.16,-72.7678,-72.77,%null%,Breakdown by County (All Years),92.73,7.89999535294391,7.9,0.16
6,True,Utah,390,3337975,425,39.25,39.25,-111.75,-111.75,%null%,Breakdown by County (All Years),91.76,11.683730405410465,11.7,0.88
7,True,Texas,2352,29527941,2549,31.25,31.25,-99.25,-99.25,%null%,Breakdown by County (All Years),92.27,7.9653369667732665,8.0,0.18
8,True,Tennessee,768,6975218,818,35.75,35.75,-86.25,-86.25,%null%,Breakdown by County (All Years),93.89,11.010408563574643,11.0,0.76
9,True,South Dakota,99,895376,111,44.5,44.50,-100.25,-100.25,%null%,Breakdown by County (All Years),89.19,11.056807419452833,11.1,0.78
10,True,South Carolina,440,5190705,473,34,34.00,-81,-81.00,%null%,Breakdown by County (All Years),93.02,8.47669054588924,8.5,0.38
11,True,Rhode Island,92,1095610,95,41.4966,41.50,-71.4757,-71.48,%null%,Breakdown by County (All Years),96.84,8.397148620403245,8.4,0.34
12,True,Pennsylvania,1189,12964056,1288,40.86,40.86,-77.9,-77.90,%null%,Breakdown by County (All Years),92.31,9.171512372362477,9.2,0.46
13,True,Oregon,501,4246155,541,44,44.00,-120.5,-120.50,%null%,Breakdown by County (All Years),92.61,11.798909837252761,11.8,0.92
14,True,Oklahoma,497,3986639,528,35.5,35.50,-97.5,-97.50,%null%,Breakdown by County (All Years),94.13,12.466641699938219,12.5,0.96
15,True,Ohio,1324,11780017,1407,40.25,40.25,-83,-83.00,%null%,Breakdown by County (All Years),94.10,11.239372574759441,11.2,0.84
16,True,North Dakota,91,774948,98,47.5,47.50,-100,-100.00,%null%,Breakdown by County (All Years),92.86,11.742723382730196,11.7,0.9
17,True,North Carolina,856,10551162,918,35.5,35.50,-80,-80.00,%null%,Breakdown by County (All Years),93.25,8.112850508787563,8.1,0.22
18,True,New York,1314,19835913,1454,43,43.00,-75.49,-75.49,%null%,Breakdown by County (All Years),90.37,6.624348473397721,6.6,0
19,True,New Mexico,172,2115877,185,34.5,34.50,-106,-106.00,%null%,Breakdown by County (All Years),92.97,8.129016951363429,8.1,0.26
20,True,New Jersey,624,9267130,680,40.16,40.16,-74.49,-74.49,%null%,Breakdown by County (All Years),91.76,6.733476275826495,6.7,0.02
21,True,New Hampshire,138,1388992,145,43.66,43.66,-71.49,-71.49,%null%,Breakdown by County (All Years),95.17,9.93526240611897,9.9,0.64
22,True,Nevada,289,3143991,311,39.25,39.25,-116.75,-116.75,%null%,Breakdown by County (All Years),92.93,9.192138272660449,9.2,0.48
23,True,Nebraska,174,1963692,191,41.5,41.50,-99.75,-99.75,%null%,Breakdown by County (All Years),91.10,8.860860053409597,8.9,0.44
24,True,Montana,104,1104271,109,47,47.00,-109.75,-109.75,%null%,Breakdown by County (All Years),95.41,9.417978014454786,9.4,0.54
25,True,Missouri,667,6168187,712,38.25,38.25,-92.5,-92.50,%null%,Breakdown by County (All Years),93.68,10.813550237695452,10.8,0.72
26,True,Mississippi,245,2949965,259,33.503,33.50,-89.8071,-89.81,%null%,Breakdown by County (All Years),94.59,8.305183281835546,8.3,0.3
27,True,Minnesota,562,5707390,595,46.25,46.25,-94.25,-94.25,%null%,Breakdown by County (All Years),94.45,9.846882725729275,9.8,0.62
28,True,Michigan,868,10050811,950,43.1045,43.10,-84.6165,-84.62,%null%,Breakdown by County (All Years),91.37,8.63611901566948,8.6,0.42
29,True,Massachusetts,534,6984723,577,42.3616,42.36,-72.1839,-72.18,%null%,Breakdown by County (All Years),92.55,7.645256655131491,7.6,0.08
30,True,Maryland,494,6165129,546,39.4444,39.44,-77.0834,-77.08,%null%,Breakdown by County (All Years),90.48,8.01280881551708,8.0,0.2
31,True,Maine,154,1372247,165,45.5,45.50,-69.24,-69.24,%null%,Breakdown by County (All Years),93.33,11.222469424236307,11.2,0.82
32,True,Louisiana,362,4624047,390,30.6935,30.69,-92.241,-92.24,%null%,Breakdown by County (All Years),92.82,7.828640150067678,7.8,0.14
33,True,Kentucky,507,4509394,538,37.79,37.79,-84.87,-84.87,%null%,Breakdown by County (All Years),94.24,11.243195870664662,11.2,0.86
34,True,Kansas,306,2934582,332,38.5,38.50,-98.5,-98.50,%null%,Breakdown by County (All Years),92.17,10.427379435981003,10.4,0.7
35,True,Iowa,303,3193079,323,42,42.00,-93.5,-93.50,%null%,Breakdown by County (All Years),93.81,9.489273519383643,9.5,0.56
36,True,Indiana,838,6805985,890,40,40.00,-86.25,-86.25,%null%,Breakdown by County (All Years),94.16,12.312692431734716,12.3,0.94
37,True,Illinois,1037,12671469,1112,40,40.00,-89.25,-89.25,%null%,Breakdown by County (All Years),93.26,8.18373939122607,8.2,0.28
38,True,Idaho,177,1900923,190,44.0739,44.07,-114.542,-114.54,%null%,Breakdown by County (All Years),93.16,9.311266158597691,9.3,0.52
