,Age Chart-alias,State1-alias,SUM(Positive Suicide)-alias,SUM(Total Suicide Responses)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,ATTR(State Population)-alias,AGG(Percent Positive)-alias,AGG(# per 100K)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,89,338,43,43.00,-107.5,-107.50,%null%,Breakdown by County (All Years),578803,26.331360946745562,15.376561628049613,15.4,0.42
1,True,Wisconsin,875,3314,44.5,44.50,-90,-90.00,%null%,Breakdown by County (All Years),5895908,26.4031382015691,14.840801450768907,14.8,0.28
2,True,West Virginia,326,1109,38.63,38.63,-80.73,-80.73,%null%,Breakdown by County (All Years),1782959,29.39585211902615,18.284211807450422,18.3,0.88
3,True,Washington,1216,4767,47.5,47.50,-120.5,-120.50,%null%,Breakdown by County (All Years),7738692,25.50870568491714,15.713249732642156,15.7,0.54
4,True,Virginia,1330,5047,37.77,37.77,-78.24,-78.24,%null%,Breakdown by County (All Years),8642274,26.352288488210817,15.389468096012692,15.4,0.44
5,True,Vermont,100,490,44.1584,44.16,-72.7678,-72.77,%null%,Breakdown by County (All Years),645570,20.408163265306122,15.490186966556687,15.5,0.48
6,True,Utah,736,3050,39.25,39.25,-111.75,-111.75,%null%,Breakdown by County (All Years),3337975,24.13114754098361,22.049296354825906,22.0,1
7,True,Texas,4422,16240,31.25,31.25,-99.25,-99.25,%null%,Breakdown by County (All Years),29527941,27.22906403940887,14.975646287020147,15.0,0.34
8,True,Tennessee,1276,4696,35.75,35.75,-86.25,-86.25,%null%,Breakdown by County (All Years),6975218,27.17206132879046,18.293335061355787,18.3,0.9
9,True,South Dakota,159,577,44.5,44.50,-100.25,-100.25,%null%,Breakdown by County (All Years),895376,27.55632582322357,17.757902825181823,17.8,0.8
10,True,South Carolina,774,2940,34,34.00,-81,-81.00,%null%,Breakdown by County (All Years),5190705,26.3265306122449,14.911269278450616,14.9,0.32
11,True,Rhode Island,132,481,41.4966,41.50,-71.4757,-71.48,%null%,Breakdown by County (All Years),1095610,27.442827442827443,12.048082803187265,12.0,0.04
12,True,Pennsylvania,1964,7288,40.86,40.86,-77.9,-77.90,%null%,Breakdown by County (All Years),12964056,26.94840834248079,15.149579730294285,15.1,0.36
13,True,Oregon,759,2673,44,44.00,-120.5,-120.50,%null%,Breakdown by County (All Years),4246155,28.39506172839506,17.874995142664364,17.9,0.84
14,True,Oklahoma,744,2628,35.5,35.50,-97.5,-97.50,%null%,Breakdown by County (All Years),3986639,28.31050228310502,18.662336870732464,18.7,0.92
15,True,Ohio,2038,6988,40.25,40.25,-83,-83.00,%null%,Breakdown by County (All Years),11780017,29.164281625643962,17.300484371117633,17.3,0.68
16,True,North Dakota,107,414,47.5,47.50,-100,-100.00,%null%,Breakdown by County (All Years),774948,25.845410628019323,13.807378043430012,13.8,0.16
17,True,North Carolina,1448,5859,35.5,35.50,-80,-80.00,%null%,Breakdown by County (All Years),10551162,24.714115036695684,13.72360693542569,13.7,0.14
18,True,New York,2603,10387,43,43.00,-75.49,-75.49,%null%,Breakdown by County (All Years),19835913,25.06017136805622,13.122662919523796,13.1,0.1
19,True,New Mexico,303,1044,34.5,34.50,-106,-106.00,%null%,Breakdown by County (All Years),2115877,29.022988505747126,14.320303117808832,14.3,0.2
20,True,New Jersey,1172,4582,40.16,40.16,-74.49,-74.49,%null%,Breakdown by County (All Years),9267130,25.578350065473593,12.646849671904894,12.6,0.06
21,True,New Hampshire,206,826,43.66,43.66,-71.49,-71.49,%null%,Breakdown by County (All Years),1388992,24.93946731234867,14.83089895406165,14.8,0.26
22,True,Nevada,509,1652,39.25,39.25,-116.75,-116.75,%null%,Breakdown by County (All Years),3143991,30.811138014527845,16.189613774339684,16.2,0.6
23,True,Nebraska,346,1326,41.5,41.50,-99.75,-99.75,%null%,Breakdown by County (All Years),1963692,26.09351432880845,17.61987114068805,17.6,0.72
24,True,Montana,187,691,47,47.00,-109.75,-109.75,%null%,Breakdown by County (All Years),1104271,27.06222865412446,16.934248929836972,16.9,0.62
25,True,Missouri,954,3542,38.25,38.25,-92.5,-92.50,%null%,Breakdown by County (All Years),6168187,26.9339356295878,15.466457161561413,15.5,0.46
