,Age Chart-alias,State1-alias,SUM(Positive Suicide)-alias,SUM(Total Suicide Responses)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,ATTR(State Population)-alias,AGG(Percent Positive)-alias,AGG(# per 100K)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,94,196,43,43.00,-107.5,-107.50,%null%,Breakdown by County (All Years),578803,47.95918367346938,16.24041340490633,16.2,0.36
1,True,Wisconsin,992,1996,44.5,44.50,-90,-90.00,%null%,Breakdown by County (All Years),5895908,49.69939879759519,16.825228616186006,16.8,0.48
2,True,West Virginia,245,469,38.63,38.63,-80.73,-80.73,%null%,Breakdown by County (All Years),1782959,52.23880597014925,13.741202125231146,13.7,0.08
3,True,Washington,1497,2961,47.5,47.50,-120.5,-120.50,%null%,Breakdown by County (All Years),7738692,50.55724417426545,19.34435431724121,19.3,0.86
4,True,Virginia,1480,3097,37.77,37.77,-78.24,-78.24,%null%,Breakdown by County (All Years),8642274,47.78818211172102,17.12512239255548,17.1,0.58
5,True,Vermont,107,226,44.1584,44.16,-72.7678,-72.77,%null%,Breakdown by County (All Years),645570,47.34513274336283,16.574500054215655,16.6,0.44
6,True,Utah,664,1422,39.25,39.25,-111.75,-111.75,%null%,Breakdown by County (All Years),3337975,46.69479606188467,19.892299972288587,19.9,0.9
7,True,Texas,4891,9824,31.25,31.25,-99.25,-99.25,%null%,Breakdown by County (All Years),29527941,49.78623778501628,16.56397240837077,16.6,0.42
8,True,Tennessee,938,1811,35.75,35.75,-86.25,-86.25,%null%,Breakdown by County (All Years),6975218,51.794588625069025,13.447608375824238,13.4,0.06
9,True,South Dakota,173,332,44.5,44.50,-100.25,-100.25,%null%,Breakdown by County (All Years),895376,52.108433734939766,19.321491753185253,19.3,0.82
10,True,South Carolina,779,1501,34,34.00,-81,-81.00,%null%,Breakdown by County (All Years),5190705,51.89873417721519,15.007595307381175,15.0,0.26
11,True,Rhode Island,160,317,41.4966,41.50,-71.4757,-71.48,%null%,Breakdown by County (All Years),1095610,50.473186119873816,14.603736731136078,14.6,0.18
12,True,Pennsylvania,1741,3660,40.86,40.86,-77.9,-77.90,%null%,Breakdown by County (All Years),12964056,47.568306010928964,13.429439058270034,13.4,0.04
13,True,Oregon,827,1638,44,44.00,-120.5,-120.50,%null%,Breakdown by County (All Years),4246155,50.48840048840049,19.476443982850366,19.5,0.88
14,True,Oklahoma,593,1184,35.5,35.50,-97.5,-97.50,%null%,Breakdown by County (All Years),3986639,50.08445945945946,14.874685167129504,14.9,0.2
15,True,Ohio,2012,4008,40.25,40.25,-83,-83.00,%null%,Breakdown by County (All Years),11780017,50.199600798403196,17.0797716166284,17.1,0.56
16,True,North Dakota,143,297,47.5,47.50,-100,-100.00,%null%,Breakdown by County (All Years),774948,48.148148148148145,18.452851030004595,18.5,0.74
17,True,North Carolina,1581,3216,35.5,35.50,-80,-80.00,%null%,Breakdown by County (All Years),10551162,49.16044776119403,14.984131605599458,15.0,0.24
18,True,New York,2989,5855,43,43.00,-75.49,-75.49,%null%,Breakdown by County (All Years),19835913,51.050384286934246,15.06862830059801,15.1,0.28
19,True,New Mexico,308,586,34.5,34.50,-106,-106.00,%null%,Breakdown by County (All Years),2115877,52.55972696245734,14.556611750115911,14.6,0.16
20,True,New Jersey,1337,2804,40.16,40.16,-74.49,-74.49,%null%,Breakdown by County (All Years),9267130,47.68188302425107,14.427336187147478,14.4,0.12
21,True,New Hampshire,198,448,43.66,43.66,-71.49,-71.49,%null%,Breakdown by County (All Years),1388992,44.19642857142857,14.254941713127218,14.3,0.1
22,True,Nevada,544,1021,39.25,39.25,-116.75,-116.75,%null%,Breakdown by County (All Years),3143991,53.28109696376102,17.302848513243198,17.3,0.64
23,True,Nebraska,348,750,41.5,41.50,-99.75,-99.75,%null%,Breakdown by County (All Years),1963692,46.400000000000006,17.721720106819195,17.7,0.68
24,True,Montana,191,367,47,47.00,-109.75,-109.75,%null%,Breakdown by County (All Years),1104271,52.043596730245234,17.296478853469846,17.3,0.62
25,True,Missouri,997,2046,38.25,38.25,-92.5,-92.50,%null%,Breakdown by County (All Years),6168187,48.72922776148583,16.163582589178958,16.2,0.34
26,True,Mississippi,378,780,33.503,33.50,-89.8071,-89.81,%null%,Breakdown by County (All Years),2949965,48.46153846153846,12.813711349117703,12.8,0.02
27,True,Minnesota,1097,2369,46.25,46.25,-94.25,-94.25,%null%,Breakdown by County (All Years),5707390,46.3064584212748,19.220694573176182,19.2,0.76
28,True,Michigan,1660,3303,43.1045,43.10,-84.6165,-84.62,%null%,Breakdown by County (All Years),10050811,50.25734181047532,16.516080145174353,16.5,0.4
29,True,Massachusetts,1093,2228,42.3616,42.36,-72.1839,-72.18,%null%,Breakdown by County (All Years),6984723,49.05745062836625,15.648437310971387,15.6,0.32
30,True,Maryland,1105,2119,39.4444,39.44,-77.0834,-77.08,%null%,Breakdown by County (All Years),6165129,52.14723926380368,17.923388139972417,17.9,0.7
31,True,Maine,264,537,45.5,45.50,-69.24,-69.24,%null%,Breakdown by County (All Years),1372247,49.162011173184354,19.23851901297653,19.2,0.78
32,True,Louisiana,550,1104,30.6935,30.69,-92.241,-92.24,%null%,Breakdown by County (All Years),4624047,49.81884057971014,11.894342769439843,11.9,0
