,Age Chart-alias,State1-alias,SUM(Positive Suicide)-alias,SUM(Total Suicide Responses)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,ATTR(State Population)-alias,AGG(Percent Positive)-alias,AGG(# per 100K)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,218,739,43,43.00,-107.5,-107.50,%null%,Breakdown by County (All Years),578803,29.499323410013535,37.66393747095299,37.7,0.98
1,True,Wisconsin,1497,5764,44.5,44.50,-90,-90.00,%null%,Breakdown by County (All Years),5895908,25.971547536433032,25.39049116777263,25.4,0.46
2,True,West Virginia,570,1776,38.63,38.63,-80.73,-80.73,%null%,Breakdown by County (All Years),1782959,32.0945945945946,31.96932739339491,32.0,0.9
3,True,Washington,2068,7522,47.5,47.50,-120.5,-120.50,%null%,Breakdown by County (All Years),7738692,27.492688114863068,26.722862209789458,26.7,0.58
4,True,Virginia,2186,8298,37.77,37.77,-78.24,-78.24,%null%,Breakdown by County (All Years),8642274,26.343697276452154,25.294268614950184,25.3,0.44
5,True,Vermont,157,577,44.1584,44.16,-72.7678,-72.77,%null%,Breakdown by County (All Years),645570,27.209705372616984,24.319593537493997,24.3,0.36
6,True,Utah,1158,4058,39.25,39.25,-111.75,-111.75,%null%,Breakdown by County (All Years),3337975,28.536224741251846,34.691691819141845,34.7,0.94
7,True,Texas,7083,25438,31.25,31.25,-99.25,-99.25,%null%,Breakdown by County (All Years),29527941,27.844170139161882,23.987449717540414,24.0,0.3
8,True,Tennessee,2013,7006,35.75,35.75,-86.25,-86.25,%null%,Breakdown by County (All Years),6975218,28.732514987153866,28.859313070931975,28.9,0.7
9,True,South Dakota,224,829,44.5,44.50,-100.25,-100.25,%null%,Breakdown by County (All Years),895376,27.020506634499398,25.017422848054895,25.0,0.42
10,True,South Carolina,1280,4349,34,34.00,-81,-81.00,%null%,Breakdown by County (All Years),5190705,29.432053345596685,24.65946340622324,24.7,0.4
11,True,Rhode Island,209,831,41.4966,41.50,-71.4757,-71.48,%null%,Breakdown by County (All Years),1095610,25.150421179302047,19.076131105046503,19.1,0
12,True,Pennsylvania,3109,11331,40.86,40.86,-77.9,-77.90,%null%,Breakdown by County (All Years),12964056,27.438001941576207,23.981692149432245,24.0,0.28
13,True,Oregon,1126,4268,44,44.00,-120.5,-120.50,%null%,Breakdown by County (All Years),4246155,26.382380506091845,26.518108736021176,26.5,0.56
14,True,Oklahoma,1173,3989,35.5,35.50,-97.5,-97.50,%null%,Breakdown by County (All Years),3986639,29.405866131862624,29.42328111474352,29.4,0.76
15,True,Ohio,3152,10772,40.25,40.25,-83,-83.00,%null%,Breakdown by County (All Years),11780017,29.261047159301896,26.757177005771723,26.8,0.6
16,True,North Dakota,213,730,47.5,47.50,-100,-100.00,%null%,Breakdown by County (All Years),774948,29.178082191780824,27.485715170566284,27.5,0.64
17,True,North Carolina,2267,8619,35.5,35.50,-80,-80.00,%null%,Breakdown by County (All Years),10551162,26.302355261631277,21.48578516754837,21.5,0.14
18,True,New York,4261,16627,43,43.00,-75.49,-75.49,%null%,Breakdown by County (All Years),19835913,25.62699224153485,21.481239608179365,21.5,0.12
19,True,New Mexico,543,1669,34.5,34.50,-106,-106.00,%null%,Breakdown by County (All Years),2115877,32.53445176752546,25.663117468548506,25.7,0.48
20,True,New Jersey,1787,7140,40.16,40.16,-74.49,-74.49,%null%,Breakdown by County (All Years),9267130,25.028011204481793,19.283208501445433,19.3,0.02
21,True,New Hampshire,333,1196,43.66,43.66,-71.49,-71.49,%null%,Breakdown by County (All Years),1388992,27.842809364548494,23.974220153895775,24.0,0.26
22,True,Nevada,921,2981,39.25,39.25,-116.75,-116.75,%null%,Breakdown by County (All Years),3143991,30.895672593089568,29.293976986575345,29.3,0.74
23,True,Nebraska,479,1964,41.5,41.50,-99.75,-99.75,%null%,Breakdown by County (All Years),1963692,24.389002036659875,24.39282738840918,24.4,0.38
24,True,Montana,285,1008,47,47.00,-109.75,-109.75,%null%,Breakdown by County (All Years),1104271,28.273809523809522,25.808882058842443,25.8,0.52
25,True,Missouri,1495,5398,38.25,38.25,-92.5,-92.50,%null%,Breakdown by County (All Years),6168187,27.69544275657651,24.23726777414498,24.2,0.34
26,True,Mississippi,760,2685,33.503,33.50,-89.8071,-89.81,%null%,Breakdown by County (All Years),2949965,28.305400372439475,25.763017527326596,25.8,0.5
27,True,Minnesota,1323,5077,46.25,46.25,-94.25,-94.25,%null%,Breakdown by County (All Years),5707390,26.05869608036242,23.180473035835995,23.2,0.22
