,rank,state,percent,number
0,1,Maine,30.0,"4,000"
1,2,Colorado,39.3,"20,000"
2,3,District of Columbia,41.0,"1,000"
3,4,Vermont,42.6,"3,000"
4,5,Maryland,44.7,"32,000"
5,6,Wyoming,44.9,"4,000"
6,7,Utah,45.4,"25,000"
7,8,New Hampshire,46.6,"7,000"
8,9,Iowa,49.3,"21,000"
9,10,Oregon,49.7,"29,000"
10,11,Washington,49.8,"50,000"
11,12,Indiana,51.5,"50,000"
12,13,North Carolina,51.9,"74,000"
13,14,Delaware,52.3,"6,000"
14,15,Nebraska,52.6,"12,000"
15,16,Montana,53.5,"6,000"
16,17,Kansas,54.5,"21,000"
17,18,North Dakota,54.6,"4,000"
18,19,Wisconsin,55.1,"36,000"
19,20,Illinois,55.2,"77,000"
20,21,Pennsylvania,55.2,"57,000"
21,22,Virginia,55.2,"58,000"
22,23,New Mexico,55.9,"18,000"
23,24,Oklahoma,56.0,"30,000"
24,25,Massachusetts,56.8,"44,000"
25,26,Missouri,57.3,"37,000"
26,27,Minnesota,58.3,"42,000"
27,28,Arkansas,58.9,"23,000"
28,29,New Jersey,58.9,"42,000"
29,30,Kentucky,59.3,"27,000"
30,31,South Dakota,59.6,"6,000"
31,32,Michigan,59.7,"74,000"
32,33,New York,60.9,"103,000"
33,34,Louisiana,62.5,"32,000"
34,35,Ohio,63.3,"76,000"
35,36,Alaska,63.4,"6,000"
36,37,West Virginia,63.9,"13,000"
37,38,California,64.5,"278,000"
38,39,Rhode Island,64.9,"6,000"
39,40,Nevada,65.2,"28,000"
40,41,Connecticut,65.6,"24,000"
41,42,Tennessee,66.5,"40,000"
42,43,Alabama,66.8,"34,000"
43,44,Idaho,67.1,"19,000"
44,45,Florida,67.3,"117,000"
45,46,South Carolina,67.6,"34,000"
46,47,Georgia,67.8,"75,000"
47,48,Arizona,70.1,"67,000"
48,49,Hawaii,71.0,"7,000"
49,50,Mississippi,71.7,"20,000"
50,51,Texas,73.1,"255,000"
51,,National,60.3,"2,173,000"
