,rank,state,percent,number
0,1,Hawaii,14.9,"28,000"
1,2,Louisiana,18.4,"139,000"
2,3,South Carolina,19.7,"150,000"
3,4,Montana,21.5,"37,000"
4,5,Minnesota,21.6,"187,000"
5,6,New Jersey,21.6,"238,000"
6,7,Massachusetts,21.7,"255,000"
7,8,New York,21.7,"628,000"
8,9,West Virginia,22.2,"82,000"
9,10,Florida,22.4,"643,000"
10,11,New Hampshire,22.4,"56,000"
11,12,New Mexico,22.7,"78,000"
12,13,Kentucky,22.9,"181,000"
13,14,Oklahoma,22.9,"152,000"
14,15,Wisconsin,22.9,"204,000"
15,16,Illinois,23.2,"422,000"
16,17,California,23.5,"1,379,000"
17,18,Connecticut,23.5,"120,000"
18,19,Texas,24.0,"845,000"
19,20,Washington,24.0,"341,000"
20,21,Georgia,24.1,"326,000"
21,22,Alaska,24.4,"28,000"
22,23,Wyoming,24.5,"25,000"
23,24,Arkansas,24.7,"114,000"
24,25,Ohio,24.8,"540,000"
25,26,Vermont,25.2,"29,000"
26,27,Mississippi,25.3,"113,000"
27,28,South Dakota,25.3,"27,000"
28,29,Rhode Island,25.4,"50,000"
29,30,North Dakota,25.6,"29,000"
30,31,Pennsylvania,25.7,"499,000"
31,32,Tennessee,25.7,"249,000"
32,33,Maine,25.9,"63,000"
33,34,Alabama,26.7,"212,000"
34,35,Indiana,26.8,"306,000"
35,36,Michigan,26.8,"419,000"
36,37,North Carolina,27.2,"423,000"
37,38,Nebraska,27.6,"76,000"
38,39,Virginia,27.7,"326,000"
39,40,Utah,27.9,"172,000"
40,41,Delaware,28.1,"45,000"
41,42,Arizona,28.4,"306,000"
42,43,Oregon,28.8,"231,000"
43,44,Idaho,29.1,"88,000"
44,45,Nevada,29.3,"154,000"
45,46,Missouri,30.1,"325,000"
46,47,Maryland,30.2,"236,000"
47,48,Colorado,31.8,"331,000"
48,49,Kansas,32.6,"145,000"
49,50,Iowa,32.9,"134,000"
50,51,District of Columbia,37.1,"50,000"
51,,National,24.7,"12,236,000"
