,rank,state,percent,number
0,1,District of Columbia,11.36,4000
1,2,Mississippi,12.64,31000
2,3,New Jersey,12.71,86000
3,4,Pennsylvania,12.88,117000
4,5,Florida,13.25,191000
5,6,New York,13.29,179000
6,7,Tennessee,13.72,70000
7,8,Georgia,13.75,119000
8,9,South Carolina,13.82,52000
9,10,Louisiana,14.14,51000
10,11,Hawaii,14.16,13000
11,12,Connecticut,14.41,39000
12,13,Alabama,14.51,54000
13,14,Texas,14.6,363000
14,15,Rhode Island,14.64,11000
15,16,Ohio,14.73,131000
16,17,Maryland,14.93,67000
17,18,Colorado,15.02,65000
18,19,North Dakota,15.07,8000
19,20,Montana,15.11,12000
20,21,Kentucky,15.15,51000
21,22,Illinois,15.15,149000
22,23,California,15.22,459000
23,24,South Dakota,15.41,11000
24,25,Delaware,15.48,11000
25,26,Nebraska,15.5,24000
26,27,Missouri,15.54,72000
27,28,Virginia,15.57,98000
28,29,Maine,15.6,14000
29,30,Massachusetts,15.61,75000
30,31,New Hampshire,15.85,15000
31,32,Minnesota,15.94,70000
32,33,Wisconsin,15.99,71000
33,34,Arkansas,16.27,39000
34,35,Vermont,16.36,7000
35,36,Kansas,16.53,39000
36,37,Michigan,16.55,125000
37,38,Indiana,16.61,89000
38,39,West Virginia,16.62,21000
39,40,North Carolina,16.68,132000
40,41,Iowa,16.69,41000
41,42,Oklahoma,17.01,54000
42,43,Arizona,17.41,98000
43,44,Idaho,17.44,27000
44,45,Wyoming,17.59,8000
45,46,Utah,17.77,56000
46,47,Nevada,17.93,42000
47,48,Alaska,17.93,10000
48,49,Washington,18.22,99000
49,50,New Mexico,18.6,31000
50,51,Oregon,18.62,55000
51,,National,15.08,3755000
