,rank,state,percent,number
0,1,District of Columbia,7.3,"2,000"
1,2,Alabama,7.5,"27,000"
2,3,Connecticut,7.8,"20,000"
3,4,Mississippi,8.0,"19,000"
4,5,Pennsylvania,8.2,"73,000"
5,6,New York,8.3,"109,000"
6,7,Rhode Island,8.3,"6,000"
7,8,Hawaii,8.4,"8,000"
8,9,New Jersey,8.4,"55,000"
9,10,Colorado,9.0,"38,000"
10,11,Florida,9.0,"124,000"
11,12,Ohio,9.0,"78,000"
12,13,Georgia,9.1,"76,000"
13,14,South Carolina,9.1,"33,000"
14,15,Texas,9.7,"234,000"
15,16,California,9.8,"284,000"
16,17,Kentucky,9.9,"32,000"
17,18,Louisiana,10.2,"36,000"
18,19,New Hampshire,10.2,"9,000"
19,20,North Dakota,10.3,"5,000"
20,21,Tennessee,10.3,"51,000"
21,22,Missouri,10.4,"47,000"
22,23,Massachusetts,10.5,"48,000"
23,24,Illinois,11.0,"104,000"
24,25,Kansas,11.2,"26,000"
25,26,Montana,11.4,"8,000"
26,27,Minnesota,11.6,"49,000"
27,28,Arizona,11.9,"64,000"
28,29,Michigan,11.9,"87,000"
29,30,South Dakota,12.0,"8,000"
30,31,Alaska,12.1,"7,000"
31,32,Maryland,12.3,"54,000"
32,33,Nebraska,12.4,"19,000"
33,34,Wisconsin,12.7,"55,000"
34,35,Delaware,12.8,"9,000"
35,36,Oklahoma,12.8,"39,000"
36,37,Virginia,13.0,"79,000"
37,38,Nevada,13.2,"29,000"
38,39,West Virginia,13.3,"16,000"
39,40,Iowa,13.5,"32,000"
40,41,Washington,13.5,"69,000"
41,42,Maine,13.6,"12,000"
42,43,Vermont,13.7,"5,000"
43,44,New Mexico,13.8,"22,000"
44,45,Oregon,14.1,"40,000"
45,46,North Carolina,14.2,"110,000"
46,47,Arkansas,14.3,"33,000"
47,48,Indiana,14.5,"76,000"
48,49,Utah,14.5,"45,000"
49,50,Idaho,14.7,"22,000"
50,51,Wyoming,14.8,"6,000"
51,,National,10.6,"2,540,000"
