,rank,state,percent,number
0,1,Alabama,3.19,12000
1,2,Louisiana,3.29,12000
2,3,Mississippi,3.32,8000
3,4,New Jersey,3.33,22000
4,5,Georgia,3.45,30000
5,6,Texas,3.49,87000
6,7,Pennsylvania,3.52,32000
7,8,Arkansas,3.63,9000
8,9,Maryland,3.7,17000
9,10,Virginia,3.71,23000
10,11,Connecticut,3.74,10000
11,12,Hawaii,3.75,4000
12,13,Utah,3.77,12000
13,14,Florida,3.86,56000
14,15,New York,3.87,52000
15,16,North Carolina,3.91,31000
16,17,Nebraska,3.94,6000
17,18,South Carolina,3.95,15000
18,19,Michigan,3.98,30000
19,20,Tennessee,4,21000
20,21,Kansas,4.02,10000
21,22,Missouri,4.04,19000
22,23,Kentucky,4.1,14000
23,24,Massachusetts,4.1,20000
24,25,Indiana,4.2,23000
25,26,Ohio,4.23,38000
26,27,Illinois,4.25,42000
27,28,Delaware,4.31,3000
28,29,Wisconsin,4.34,19000
29,30,Oklahoma,4.36,14000
30,31,West Virginia,4.44,6000
31,32,Idaho,4.47,7000
32,33,California,4.55,137000
33,34,New Hampshire,4.57,4000
34,35,Rhode Island,4.58,3000
35,36,South Dakota,4.6,3000
36,37,Minnesota,4.62,20000
37,38,Alaska,4.63,3000
38,39,Maine,4.67,4000
39,40,Arizona,4.83,27000
40,41,Washington,4.84,26000
41,42,Iowa,5.07,12000
42,43,North Dakota,5.08,3000
43,44,Wyoming,5.22,2000
44,45,New Mexico,5.43,9000
45,46,Colorado,5.44,24000
46,47,Vermont,5.5,2000
47,48,District of Columbia,5.57,2000
48,49,Nevada,5.59,13000
49,50,Montana,5.68,4000
50,51,Oregon,5.77,17000
51,,National,4.08,1017000
