,rank,state,percent,number
1,1,Massachusetts,1.9,"5,000"
2,2,Vermont,2.1,0
3,3,Connecticut,3.5,"5,000"
4,4,Rhode Island,3.8,"1,000"
5,5,Missouri,4.2,"9,000"
6,6,New Hampshire,4.3,"2,000"
7,7,Oklahoma,4.4,"6,000"
8,8,District of Columbia,4.5,"1,000"
9,9,West Virginia,4.5,"2,000"
10,10,Wisconsin,4.5,"12,000"
11,11,South Dakota,4.7,"2,000"
12,12,Utah,4.7,"10,000"
13,13,New Jersey,5.0,"18,000"
14,14,Washington,5.2,"15,000"
15,15,Maine,5.4,"3,000"
16,16,Michigan,6.1,"27,000"
17,17,Virginia,6.4,"22,000"
18,18,Maryland,6.5,"15,000"
19,19,Illinois,6.6,"33,000"
20,20,Oregon,6.6,"10,000"
21,21,Pennsylvania,6.8,"32,000"
22,22,Delaware,7.0,"3,000"
23,23,Georgia,7.0,"25,000"
24,24,Nevada,7.1,"8,000"
25,25,Indiana,7.4,"22,000"
26,26,Iowa,7.4,"10,000"
27,27,Ohio,7.4,"33,000"
28,28,Alaska,7.5,"2,000"
29,29,New York,7.7,"48,000"
30,30,New Mexico,7.8,"5,000"
31,31,Kansas,7.9,"8,000"
32,32,Minnesota,8.0,"20,000"
33,33,California,8.2,"111,000"
34,34,Mississippi,8.2,"6,000"
35,35,Hawaii,8.3,"3,000"
36,36,Tennessee,8.8,"19,000"
37,37,Louisiana,9.0,"11,000"
38,38,Kentucky,9.3,"15,000"
39,39,Montana,9.5,"3,000"
40,40,Colorado,9.6,"22,000"
41,41,North Carolina,10.0,"34,000"
42,42,Arizona,10.2,"27,000"
43,43,Florida,11.7,"65,000"
44,44,Idaho,12.2,"11,000"
45,45,South Carolina,12.4,"19,000"
46,46,Alabama,12.5,"16,000"
47,47,Wyoming,12.7,"3,000"
48,48,Texas,13.8,"135,000"
49,49,Nebraska,15.4,"13,000"
50,50,North Dakota,15.6,"5,000"
51,51,Arkansas,17.7,"17,000"
52,,National,8.1,"950,000"
