,Age Chart-alias,State-alias,SUM(Positive Severe Depression)-alias,SUM(Total Depression Responses)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(2021 Population Estimate)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,AGG(% at Risk)-alias,AGG(# per 100K)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,99,258,43,43.00,-107.5,-107.50,578803,%null%,Breakdown by County (All Years),38.37,17.10426518176305,17.1,0.8
1,True,Wisconsin,978,2336,44.5,44.50,-90,-90.00,5895908,%null%,Breakdown by County (All Years),41.87,16.5877757929737,16.6,0.76
2,True,West Virginia,279,640,38.63,38.63,-80.73,-80.73,1782959,%null%,Breakdown by County (All Years),43.59,15.64814446097751,15.6,0.58
3,True,Washington,1353,3343,47.5,47.50,-120.5,-120.50,7738692,%null%,Breakdown by County (All Years),40.47,17.483574743638847,17.5,0.86
4,True,Virginia,1399,3712,37.77,37.77,-78.24,-78.24,8642274,%null%,Breakdown by County (All Years),37.69,16.187869072422373,16.2,0.66
5,True,Vermont,90,244,44.1584,44.16,-72.7678,-72.77,645570,%null%,Breakdown by County (All Years),36.89,13.941168269901018,13.9,0.22
6,True,Utah,552,1329,39.25,39.25,-111.75,-111.75,3337975,%null%,Breakdown by County (All Years),41.53,16.53697226611943,16.5,0.74
7,True,Texas,4751,11759,31.25,31.25,-99.25,-99.25,29527941,%null%,Breakdown by County (All Years),40.40,16.0898452079676,16.1,0.64
8,True,Tennessee,872,2081,35.75,35.75,-86.25,-86.25,6975218,%null%,Breakdown by County (All Years),41.90,12.501401389892044,12.5,0.06
9,True,South Dakota,126,300,44.5,44.50,-100.25,-100.25,895376,%null%,Breakdown by County (All Years),42.00,14.07230035203088,14.1,0.24
10,True,South Carolina,737,1696,34,34.00,-81,-81.00,5190705,%null%,Breakdown by County (All Years),43.46,14.198456664364475,14.2,0.28
11,True,Rhode Island,146,367,41.4966,41.50,-71.4757,-71.48,1095610,%null%,Breakdown by County (All Years),39.78,13.325909767161672,13.3,0.1
12,True,Pennsylvania,1805,4581,40.86,40.86,-77.9,-77.90,12964056,%null%,Breakdown by County (All Years),39.40,13.923111717505694,13.9,0.2
13,True,Oregon,658,1639,44,44.00,-120.5,-120.50,4246155,%null%,Breakdown by County (All Years),40.15,15.496372600623388,15.5,0.54
14,True,Oklahoma,538,1333,35.5,35.50,-97.5,-97.50,3986639,%null%,Breakdown by County (All Years),40.36,13.495076930717829,13.5,0.12
15,True,Ohio,1766,4444,40.25,40.25,-83,-83.00,11780017,%null%,Breakdown by County (All Years),39.74,14.991489401076416,15.0,0.42
16,True,North Dakota,111,269,47.5,47.50,-100,-100.00,774948,%null%,Breakdown by County (All Years),41.26,14.323541708604964,14.3,0.32
17,True,North Carolina,1546,3830,35.5,35.50,-80,-80.00,10551162,%null%,Breakdown by County (All Years),40.37,14.652414587132677,14.7,0.38
18,True,New York,2730,7236,43,43.00,-75.49,-75.49,19835913,%null%,Breakdown by County (All Years),37.73,13.762915778063757,13.8,0.16
19,True,New Mexico,305,695,34.5,34.50,-106,-106.00,2115877,%null%,Breakdown by County (All Years),43.88,14.414826570731664,14.4,0.34
20,True,New Jersey,1320,3709,40.16,40.16,-74.49,-74.49,9267130,%null%,Breakdown by County (All Years),35.59,14.243892121940666,14.2,0.3
21,True,New Hampshire,216,556,43.66,43.66,-71.49,-71.49,1388992,%null%,Breakdown by County (All Years),38.85,15.550845505229693,15.6,0.56
22,True,Nevada,581,1369,39.25,39.25,-116.75,-116.75,3143991,%null%,Breakdown by County (All Years),42.44,18.479696665798343,18.5,0.92
23,True,Nebraska,319,807,41.5,41.50,-99.75,-99.75,1963692,%null%,Breakdown by County (All Years),39.53,16.244910097917597,16.2,0.68
24,True,Montana,166,358,47,47.00,-109.75,-109.75,1104271,%null%,Breakdown by County (All Years),46.37,15.03254183076437,15.0,0.44
25,True,Missouri,870,2195,38.25,38.25,-92.5,-92.50,6168187,%null%,Breakdown by County (All Years),39.64,14.104630744820156,14.1,0.26
26,True,Mississippi,296,734,33.503,33.50,-89.8071,-89.81,2949965,%null%,Breakdown by County (All Years),40.33,10.034017352748254,10.0,0.04
27,True,Minnesota,1023,2772,46.25,46.25,-94.25,-94.25,5707390,%null%,Breakdown by County (All Years),36.90,17.924129943809692,17.9,0.88
28,True,Michigan,1586,3899,43.1045,43.10,-84.6165,-84.62,10050811,%null%,Breakdown by County (All Years),40.68,15.77982115075092,15.8,0.62
29,True,Massachusetts,924,2695,42.3616,42.36,-72.1839,-72.18,6984723,%null%,Breakdown by County (All Years),34.29,13.228871066182581,13.2,0.08
30,True,Maryland,932,2526,39.4444,39.44,-77.0834,-77.08,6165129,%null%,Breakdown by County (All Years),36.90,15.117283028465422,15.1,0.46
31,True,Maine,191,492,45.5,45.50,-69.24,-69.24,1372247,%null%,Breakdown by County (All Years),38.82,13.9187770131762,13.9,0.18
32,True,Louisiana,455,1199,30.6935,30.69,-92.241,-92.24,4624047,%null%,Breakdown by County (All Years),37.95,9.839865381991144,9.8,0.02
33,True,Kentucky,692,1643,37.79,37.79,-84.87,-84.87,4509394,%null%,Breakdown by County (All Years),42.12,15.34574268737662,15.3,0.52
34,True,Kansas,444,1080,38.5,38.50,-98.5,-98.50,2934582,%null%,Breakdown by County (All Years),41.11,15.129923103188121,15.1,0.48
35,True,Iowa,547,1239,42,42.00,-93.5,-93.50,3193079,%null%,Breakdown by County (All Years),44.15,17.130800709910403,17.1,0.84
36,True,Indiana,1328,3172,40,40.00,-86.25,-86.25,6805985,%null%,Breakdown by County (All Years),41.87,19.512238125708475,19.5,0.96
37,True,Illinois,2081,5333,40,40.00,-89.25,-89.25,12671469,%null%,Breakdown by County (All Years),39.02,16.42272099627912,16.4,0.72
38,True,Idaho,283,720,44.0739,44.07,-114.542,-114.54,1900923,%null%,Breakdown by County (All Years),39.31,14.887504649057327,14.9,0.4
39,True,Hawaii,276,689,20.79,20.79,-156.34,-156.34,1441553,%null%,Breakdown by County (All Years),40.06,19.146018217852554,19.1,0.94
40,True,Georgia,1699,4387,32.1598,32.16,-83.4715,-83.47,10799566,%null%,Breakdown by County (All Years),38.73,15.732113679383042,15.7,0.6
41,True,Florida,2974,7656,28.42,28.42,-81.55,-81.55,21781128,%null%,Breakdown by County (All Years),38.85,13.654021958826009,13.7,0.14
42,True,District of Columbia,61,162,38.91,38.91,-77,-77.00,670050,%null%,Breakdown by County (All Years),37.65,9.103798224013133,9.1,0
43,True,Delaware,147,424,38.6716,38.67,-75.4165,-75.42,1003384,%null%,Breakdown by County (All Years),34.67,14.650422968674008,14.7,0.36
44,True,Connecticut,546,1529,41.6227,41.62,-72.7028,-72.70,3605597,%null%,Breakdown by County (All Years),35.71,15.143123316332913,15.1,0.5
45,True,Colorado,987,2584,39,39.00,-105.5,-105.50,5812069,%null%,Breakdown by County (All Years),38.20,16.981904378630055,17.0,0.78
46,True,California,7047,18269,37.25,37.25,-119.75,-119.75,39237836,%null%,Breakdown by County (All Years),38.57,17.959706034756863,18.0,0.9
47,True,Arkansas,495,1223,34.75,34.75,-92.5,-92.50,3025891,%null%,Breakdown by County (All Years),40.47,16.358817948167996,16.4,0.7
48,True,Arizona,1429,3303,34.5,34.50,-111.5,-111.50,7276316,%null%,Breakdown by County (All Years),43.26,19.639059106284005,19.6,0.98
49,True,Alaska,240,601,64,64.00,-150,-150.00,732673,%null%,Breakdown by County (All Years),39.93,32.756768708550744,32.8,1
50,True,Alabama,863,2140,32.75,32.75,-86.75,-86.75,5039877,%null%,Breakdown by County (All Years),40.33,17.123433766339932,17.1,0.82
