,Age Chart-alias,State-alias,SUM(Positive Severe Depression)-alias,SUM(Total Depression Responses)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(2021 Population Estimate)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,AGG(% at Risk)-alias,AGG(# per 100K)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,100,338,43,43.00,-107.5,-107.50,578803,%null%,Breakdown by County (All Years),29.59,17.277035537134395,17.3,0.64
1,True,Wisconsin,847,3319,44.5,44.50,-90,-90.00,5895908,%null%,Breakdown by County (All Years),25.52,14.365895804344301,14.4,0.24
2,True,West Virginia,368,1109,38.63,38.63,-80.73,-80.73,1782959,%null%,Breakdown by County (All Years),33.18,20.639846457490048,20.6,0.94
3,True,Washington,1243,4769,47.5,47.50,-120.5,-120.50,7738692,%null%,Breakdown by County (All Years),26.06,16.0621459026926,16.1,0.44
4,True,Virginia,1391,5049,37.77,37.77,-78.24,-78.24,8642274,%null%,Breakdown by County (All Years),27.55,16.095300843273424,16.1,0.46
5,True,Vermont,98,490,44.1584,44.16,-72.7678,-72.77,645570,%null%,Breakdown by County (All Years),20.00,15.180383227225553,15.2,0.32
6,True,Utah,724,3053,39.25,39.25,-111.75,-111.75,3337975,%null%,Breakdown by County (All Years),23.71,21.689796957736352,21.7,0.98
7,True,Texas,4668,16257,31.25,31.25,-99.25,-99.25,29527941,%null%,Breakdown by County (All Years),28.71,15.808755510585721,15.8,0.4
8,True,Tennessee,1472,4697,35.75,35.75,-86.25,-86.25,6975218,%null%,Breakdown by County (All Years),31.34,21.103283080184735,21.1,0.96
9,True,South Dakota,164,576,44.5,44.50,-100.25,-100.25,895376,%null%,Breakdown by County (All Years),28.47,18.316327442325907,18.3,0.78
10,True,South Carolina,850,2942,34,34.00,-81,-81.00,5190705,%null%,Breakdown by County (All Years),28.89,16.37542491819512,16.4,0.52
11,True,Rhode Island,135,481,41.4966,41.50,-71.4757,-71.48,1095610,%null%,Breakdown by County (All Years),28.07,12.321902866896066,12.3,0.04
12,True,Pennsylvania,1967,7284,40.86,40.86,-77.9,-77.90,12964056,%null%,Breakdown by County (All Years),27.00,15.172720636195955,15.2,0.3
