,Age Chart-alias,State-alias,SUM(Positive Severe Depression)-alias,SUM(Total Depression Responses)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(2021 Population Estimate)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,AGG(% at Risk)-alias,AGG(# per 100K)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,155,655,43,43.00,-107.5,-107.50,578803,%null%,Breakdown by County (All Years),23.66,26.779405082558313,26.8,0.96
1,True,Wisconsin,1093,4153,44.5,44.50,-90,-90.00,5895908,%null%,Breakdown by County (All Years),26.32,18.538281126503332,18.5,0.36
2,True,West Virginia,419,1234,38.63,38.63,-80.73,-80.73,1782959,%null%,Breakdown by County (All Years),33.95,23.50025996110959,23.5,0.86
3,True,Washington,1690,6113,47.5,47.50,-120.5,-120.50,7738692,%null%,Breakdown by County (All Years),27.65,21.83831582908326,21.8,0.72
4,True,Virginia,1762,6445,37.77,37.77,-78.24,-78.24,8642274,%null%,Breakdown by County (All Years),27.34,20.388152470055914,20.4,0.6
5,True,Vermont,107,449,44.1584,44.16,-72.7678,-72.77,645570,%null%,Breakdown by County (All Years),23.83,16.574500054215655,16.6,0.08
6,True,Utah,920,3637,39.25,39.25,-111.75,-111.75,3337975,%null%,Breakdown by County (All Years),25.30,27.561620443532384,27.6,0.98
7,True,Texas,6019,20481,31.25,31.25,-99.25,-99.25,29527941,%null%,Breakdown by County (All Years),29.39,20.384082994476316,20.4,0.58
8,True,Tennessee,1757,6019,35.75,35.75,-86.25,-86.25,6975218,%null%,Breakdown by County (All Years),29.19,25.189176883073763,25.2,0.92
9,True,South Dakota,155,671,44.5,44.50,-100.25,-100.25,895376,%null%,Breakdown by County (All Years),23.10,17.311163131466557,17.3,0.18
10,True,South Carolina,947,3184,34,34.00,-81,-81.00,5190705,%null%,Breakdown by County (All Years),29.74,18.244149879447974,18.2,0.28
11,True,Rhode Island,170,645,41.4966,41.50,-71.4757,-71.48,1095610,%null%,Breakdown by County (All Years),26.36,15.516470276832084,15.5,0
