,Age Chart-alias,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(State Population)-alias,SUM(Total Count of Reported Special Populations)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,169,578803,756,43,43.00,-107.5,-107.50,%null%,Breakdown by County (All Years),29.2,0.92
1,True,Wisconsin,1377,5895908,6276,44.5,44.50,-90,-90.00,%null%,Breakdown by County (All Years),23.4,0.46
2,True,West Virginia,459,1782959,1830,38.63,38.63,-80.73,-80.73,%null%,Breakdown by County (All Years),25.7,0.68
3,True,Washington,1869,7738692,8088,47.5,47.50,-120.5,-120.50,%null%,Breakdown by County (All Years),24.2,0.6
4,True,Virginia,1833,8642274,8955,37.77,37.77,-78.24,-78.24,%null%,Breakdown by County (All Years),21.2,0.36
5,True,Vermont,170,645570,806,44.1584,44.16,-72.7678,-72.77,%null%,Breakdown by County (All Years),26.3,0.78
6,True,Utah,824,3337975,3922,39.25,39.25,-111.75,-111.75,%null%,Breakdown by County (All Years),24.7,0.64
7,True,Texas,5926,29527941,29789,31.25,31.25,-99.25,-99.25,%null%,Breakdown by County (All Years),20.1,0.24
8,True,Tennessee,1521,6975218,6242,35.75,35.75,-86.25,-86.25,%null%,Breakdown by County (All Years),21.8,0.38
9,True,South Dakota,213,895376,950,44.5,44.50,-100.25,-100.25,%null%,Breakdown by County (All Years),23.8,0.54
10,True,South Carolina,1025,5190705,4804,34,34.00,-81,-81.00,%null%,Breakdown by County (All Years),19.7,0.2
11,True,Rhode Island,180,1095610,937,41.4966,41.50,-71.4757,-71.48,%null%,Breakdown by County (All Years),16.4,0
12,True,Pennsylvania,2595,12964056,11906,40.86,40.86,-77.9,-77.90,%null%,Breakdown by County (All Years),20.0,0.22
13,True,Oregon,1150,4246155,4444,44,44.00,-120.5,-120.50,%null%,Breakdown by County (All Years),27.1,0.84
14,True,Oklahoma,1044,3986639,4004,35.5,35.50,-97.5,-97.50,%null%,Breakdown by County (All Years),26.2,0.74
15,True,Ohio,2884,11780017,12559,40.25,40.25,-83,-83.00,%null%,Breakdown by County (All Years),24.5,0.62
16,True,North Dakota,163,774948,778,47.5,47.50,-100,-100.00,%null%,Breakdown by County (All Years),21.0,0.32
