,Age Chart-alias,State-alias,SUM(Count of Trauma Survivor)-alias,SUM(State Population)-alias,SUM(Total Count of Reported Special Populations)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,320,578803,1258,43,43.00,-107.5,-107.50,%null%,Breakdown by County (All Years),55.3,0.76
1,True,Wisconsin,2873,5895908,11187,44.5,44.50,-90,-90.00,%null%,Breakdown by County (All Years),48.7,0.46
2,True,West Virginia,985,1782959,3552,38.63,38.63,-80.73,-80.73,%null%,Breakdown by County (All Years),55.2,0.74
3,True,Washington,4587,7738692,16226,47.5,47.50,-120.5,-120.50,%null%,Breakdown by County (All Years),59.3,0.86
4,True,Virginia,3959,8642274,17281,37.77,37.77,-78.24,-78.24,%null%,Breakdown by County (All Years),45.8,0.38
5,True,Vermont,318,645570,1183,44.1584,44.16,-72.7678,-72.77,%null%,Breakdown by County (All Years),49.3,0.52
6,True,Utah,2014,3337975,8602,39.25,39.25,-111.75,-111.75,%null%,Breakdown by County (All Years),60.3,0.92
7,True,Texas,12330,29527941,52987,31.25,31.25,-99.25,-99.25,%null%,Breakdown by County (All Years),41.8,0.16
8,True,Tennessee,3652,6975218,12425,35.75,35.75,-86.25,-86.25,%null%,Breakdown by County (All Years),52.4,0.6
9,True,South Dakota,475,895376,1605,44.5,44.50,-100.25,-100.25,%null%,Breakdown by County (All Years),53.1,0.62
10,True,South Carolina,2199,5190705,8798,34,34.00,-81,-81.00,%null%,Breakdown by County (All Years),42.4,0.24
11,True,Rhode Island,439,1095610,1806,41.4966,41.50,-71.4757,-71.48,%null%,Breakdown by County (All Years),40.1,0.14
12,True,Pennsylvania,5815,12964056,23312,40.86,40.86,-77.9,-77.90,%null%,Breakdown by County (All Years),44.9,0.34
13,True,Oregon,2881,4246155,8891,44,44.00,-120.5,-120.50,%null%,Breakdown by County (All Years),67.8,0.98
14,True,Oklahoma,2409,3986639,7404,35.5,35.50,-97.5,-97.50,%null%,Breakdown by County (All Years),60.4,0.94
15,True,Ohio,6111,11780017,22435,40.25,40.25,-83,-83.00,%null%,Breakdown by County (All Years),51.9,0.56
16,True,North Dakota,381,774948,1449,47.5,47.50,-100,-100.00,%null%,Breakdown by County (All Years),49.2,0.5
17,True,North Carolina,4409,10551162,18004,35.5,35.50,-80,-80.00,%null%,Breakdown by County (All Years),41.8,0.18
18,True,New York,7298,19835913,34192,43,43.00,-75.49,-75.49,%null%,Breakdown by County (All Years),36.8,0.08
19,True,New Mexico,967,2115877,3407,34.5,34.50,-106,-106.00,%null%,Breakdown by County (All Years),45.7,0.36
20,True,New Jersey,3225,9267130,16329,40.16,40.16,-74.49,-74.49,%null%,Breakdown by County (All Years),34.8,0.02
21,True,New Hampshire,777,1388992,2778,43.66,43.66,-71.49,-71.49,%null%,Breakdown by County (All Years),55.9,0.78
22,True,Nevada,1543,3143991,5992,39.25,39.25,-116.75,-116.75,%null%,Breakdown by County (All Years),49.1,0.48
23,True,Nebraska,980,1963692,3724,41.5,41.50,-99.75,-99.75,%null%,Breakdown by County (All Years),49.9,0.54
24,True,Montana,639,1104271,2018,47,47.00,-109.75,-109.75,%null%,Breakdown by County (All Years),57.9,0.82
25,True,Missouri,3300,6168187,11218,38.25,38.25,-92.5,-92.50,%null%,Breakdown by County (All Years),53.5,0.68
26,True,Mississippi,1012,2949965,4164,33.503,33.50,-89.8071,-89.81,%null%,Breakdown by County (All Years),34.3,0
27,True,Minnesota,2701,5707390,11470,46.25,46.25,-94.25,-94.25,%null%,Breakdown by County (All Years),47.3,0.42
28,True,Michigan,4742,10050811,18955,43.1045,43.10,-84.6165,-84.62,%null%,Breakdown by County (All Years),47.2,0.4
29,True,Massachusetts,3040,6984723,13008,42.3616,42.36,-72.1839,-72.18,%null%,Breakdown by County (All Years),43.5,0.28
30,True,Maryland,2462,6165129,11551,39.4444,39.44,-77.0834,-77.08,%null%,Breakdown by County (All Years),39.9,0.12
31,True,Maine,817,1372247,2695,45.5,45.50,-69.24,-69.24,%null%,Breakdown by County (All Years),59.5,0.88
32,True,Louisiana,1692,4624047,6246,30.6935,30.69,-92.241,-92.24,%null%,Breakdown by County (All Years),36.6,0.06
33,True,Kentucky,2572,4509394,8758,37.79,37.79,-84.87,-84.87,%null%,Breakdown by County (All Years),57.0,0.8
34,True,Kansas,1593,2934582,5623,38.5,38.50,-98.5,-98.50,%null%,Breakdown by County (All Years),54.3,0.72
35,True,Iowa,1664,3193079,6034,42,42.00,-93.5,-93.50,%null%,Breakdown by County (All Years),52.1,0.58
36,True,Indiana,4118,6805985,15494,40,40.00,-86.25,-86.25,%null%,Breakdown by County (All Years),60.5,0.96
