,rank,state,percent,number
0,1,Vermont,0.6,0
1,2,Massachusetts,1.2,"4,000"
2,3,New Hampshire,2.5,"1,000"
3,4,Connecticut,3.3,"5,000"
4,5,Maine,3.4,"2,000"
5,6,New Jersey,4.0,"14,000"
6,7,District of Columbia,4.6,"1,000"
7,8,Washington,5.2,"16,000"
8,9,Rhode Island,5.3,"2,000"
9,10,Montana,5.4,"2,000"
10,11,South Dakota,5.4,"2,000"
11,12,Michigan,5.5,"23,000"
12,13,Wisconsin,5.5,"16,000"
13,14,Ohio,5.9,"26,000"
14,15,Missouri,5.9,"14,000"
15,16,Alabama,5.9,"7,000"
16,17,Pennsylvania,6.1,"29,000"
17,18,Georgia,6.5,"23,000"
18,19,Virginia,6.6,"21,000"
19,20,Oregon,6.7,"10,000"
20,21,Delaware,6.9,"3,000"
21,22,Indiana,7.1,"22,000"
22,23,Illinois,7.2,"34,000"
23,24,Maryland,7.2,"18,000"
24,25,West Virginia,7.2,"4,000"
25,26,California,7.5,"100,000"
26,27,Minnesota,7.5,"20,000"
27,28,Mississippi,7.5,"6,000"
28,29,Iowa,7.5,"10,000"
29,30,Louisiana,7.6,"10,000"
30,31,Utah,7.8,"16,000"
31,32,New Mexico,7.8,"4,000"
32,33,Oklahoma,7.9,"11,000"
33,34,Kansas,7.9,"9,000"
34,35,New York,8.3,"49,000"
35,36,Colorado,8.3,"17,000"
36,37,Hawaii,9.2,"3,000"
37,38,Florida,9.4,"52,000"
38,39,North Carolina,10.0,"33,000"
39,40,Alaska,10.3,"2,000"
40,41,Kentucky,11.0,"17,000"
41,42,Texas,11.5,"108,000"
42,43,Wyoming,12.0,"3,000"
43,44,Arizona,12.1,"32,000"
44,45,Nevada,12.6,"13,000"
45,46,Nebraska,12.6,"10,000"
46,47,Idaho,12.7,"10,000"
47,48,North Dakota,13.5,"5,000"
48,49,Tennessee,13.5,"27,000"
49,50,Arkansas,14.4,"13,000"
50,51,South Carolina,14.8,"23,000"
51,,National,7.8,"901,000"
