,rank,state,percent,number
0,1,Maine,50.0,"5,000"
1,2,Maryland,49.2,"21,000"
2,3,Vermont,45.4,"2,000"
3,4,Delaware,41.5,"2,000"
4,5,Rhode Island,41.2,"3,000"
5,6,Wisconsin,40.4,"23,000"
6,7,Oregon,37.9,"14,000"
7,8,Massachusetts,37.7,"15,000"
8,9,District of Columbia,37.3,"1,000"
9,10,Pennsylvania,37.1,"23,000"
10,11,Wyoming,36.3,"2,000"
11,12,Ohio,36.0,"28,000"
12,13,Nebraska,35.9,"5,000"
13,14,Idaho,35.8,"6,000"
14,15,New Hampshire,34.9,"3,000"
15,16,Kentucky,34.2,"10,000"
16,17,Minnesota,33.7,"13,000"
17,18,North Dakota,33.0,"1,000"
18,19,New Jersey,32.5,"16,000"
19,20,Louisiana,32.0,"9,000"
20,21,Kansas,31.1,"7,000"
21,22,Arkansas,30.0,"7,000"
22,23,Alaska,29.9,"2,000"
23,24,Michigan,29.8,"24,000"
24,25,Montana,29.3,"2,000"
25,26,South Dakota,29.2,"1,000"
26,27,Iowa,28.8,"7,000"
27,28,South Carolina,28.3,"9,000"
28,29,Hawaii,28.3,"2,000"
29,30,West Virginia,27.8,"4,000"
30,31,Tennessee,27.3,"12,000"
31,32,Washington,26.7,"13,000"
32,33,Indiana,26.1,"16,000"
33,34,Virginia,26.1,"16,000"
34,35,Alabama,25.9,"6,000"
35,36,Texas,25.0,"54,000"
36,37,Illinois,25.0,"26,000"
37,38,Arizona,24.7,"15,000"
38,39,California,24.6,"59,000"
39,40,Utah,24.5,"8,000"
40,41,Oklahoma,23.5,"8,000"
41,42,New Mexico,22.6,"5,000"
42,43,New York,21.9,"22,000"
43,44,North Carolina,21.9,"21,000"
44,45,Connecticut,21.6,"5,000"
45,46,Colorado,21.5,"8,000"
46,47,Florida,19.7,"24,000"
47,48,Georgia,19.2,"15,000"
48,49,Missouri,19.0,"9,000"
49,50,Mississippi,14.9,"2,000"
50,51,Nevada,11.2,"3,000"
51,,National,27.3,"614,000"
