,rank,state,percent,number
0,1,Utah,3.16,"10,000"
1,2,Georgia,3.20,"28,000"
2,3,Texas,3.24,"80,000"
3,4,Maryland,3.26,"15,000"
4,5,Mississippi,3.30,"8,000"
5,6,Indiana,3.37,"18,000"
6,7,New York,3.41,"47,000"
7,8,New Jersey,3.42,"23,000"
8,9,Pennsylvania,3.42,"31,000"
9,10,Virginia,3.56,"22,000"
10,11,North Carolina,3.57,"28,000"
11,12,Louisiana,3.58,"13,000"
12,13,Kansas,3.63,"9,000"
13,14,Alabama,3.63,"14,000"
14,15,Michigan,3.64,"28,000"
15,16,Missouri,3.69,"17,000"
16,17,Nebraska,3.69,"6,000"
17,18,Kentucky,3.77,"13,000"
18,19,Minnesota,3.86,"17,000"
19,20,Connecticut,3.86,"11,000"
20,21,Tennessee,3.91,"20,000"
21,22,Massachusetts,3.92,"19,000"
22,23,South Carolina,3.95,"15,000"
23,24,Idaho,3.97,"6,000"
24,25,Ohio,3.97,"36,000"
25,26,Hawaii,4.04,"4,000"
26,27,California,,
27,28,Illinois,,
28,29,Rhode Island,,
29,30,Wisconsin,,
30,31,Arizona,,
31,32,West Virginia,,
32,33,Arkansas,,
33,34,Delaware,,
34,35,Oklahoma,,
35,36,Iowa,,
36,37,Florida,,
37,38,Alaska,,
38,39,North Dakota,,
39,40,New Hampshire,,
40,41,Maine,,
41,42,Wyoming,,
42,43,Oregon,,
43,44,South Dakota,,
44,45,New Mexico,,
45,46,Washington,,
46,47,Nevada,,
47,48,Colorado,,
48,49,Montana,,
49,50,District of Columbia,,
50,51,Vermont,,
51,,National,,
