,rank,state,percent,number
1,1,District of Columbia,2.5,"3,000"
2,2,Vermont,3.9,"4,000"
3,3,Massachusetts,4.2,"51,000"
4,4,Connecticut,4.6,"25,000"
5,5,Kentucky,4.8,"37,000"
6,6,New York,5.1,"139,000"
7,7,Rhode Island,5.8,"11,000"
8,8,Pennsylvania,6.0,"108,000"
9,9,Michigan,6.4,"93,000"
10,10,New Mexico,6.4,"19,000"
11,11,Hawaii,6.4,"12,000"
12,12,Delaware,6.8,"10,000"
13,13,Maryland,7.0,"55,000"
14,14,Ohio,7.1,"138,000"
15,15,Minnesota,7.3,"58,000"
16,16,Wisconsin,7.4,"62,000"
17,17,New Hampshire,7.5,"17,000"
18,18,California,7.8,"434,000"
19,19,South Dakota,8.2,"9,000"
20,20,West Virginia,8.3,"31,000"
21,21,Iowa,8.4,"39,000"
22,22,New Jersey,8.8,"94,000"
23,23,North Dakota,8.8,"9,000"
24,24,Illinois,8.9,"151,000"
25,25,Colorado,9.0,"84,000"
26,26,Oregon,9.0,"67,000"
27,27,Arizona,9.6,"97,000"
28,28,Louisiana,9.7,"72,000"
29,29,Nebraska,10.3,"25,000"
30,30,Montana,10.3,"17,000"
31,31,Nevada,10.5,"51,000"
32,32,Washington,10.6,"140,000"
33,33,Arkansas,10.9,"51,000"
34,34,Indiana,11.4,"134,000"
35,35,Alaska,11.6,"12,000"
36,36,Utah,11.7,"67,000"
37,37,Kansas,12.4,"52,000"
38,38,South Carolina,12.5,"85,000"
39,39,Maine,12.7,"29,000"
40,40,Virginia,13.5,"147,000"
41,41,Idaho,13.7,"46,000"
42,42,North Carolina,13.8,"204,000"
43,43,Oklahoma,15.9,"92,000"
44,44,Missouri,16.2,"169,000"
45,45,Florida,17.4,"503,000"
46,46,Georgia,18.5,"255,000"
47,47,Alabama,18.8,"154,000"
48,48,Tennessee,19.0,"171,000"
49,49,Texas,20.1,"664,000"
50,50,Mississippi,22.2,"95,000"
51,51,Wyoming,23.0,"21,000"
52,,National,10.8,"5,114,000"
